pressure_Pa,candidate_residual_force_N,ehd_plasma_artifact_force_N,measured_force_N
23500.071432694047,3.187507612608e-07,1.9118644314044737e-05,1.9438189141905567e-05
27162.032476755725,3.187507612608e-07,1.9129572382336602e-05,1.9449434307774704e-05
31394.628326189355,3.187507612608e-07,1.913903722310628e-05,1.945654364896657e-05
36286.77966507222,3.187507612608e-07,1.9147233582700286e-05,1.946795915425118e-05
41941.26347923936,3.187507612608e-07,1.9154330582834453e-05,1.9475396359611296e-05
48476.872251305715,3.187507612608e-07,1.9160475018027774e-05,1.94820983828017e-05
56030.90961798617,3.187507612608e-07,1.91657942475355e-05,1.9485603835610552e-05
64762.07491984746,3.187507612608e-07,1.9170398726800327e-05,1.9491876345485298e-05
74853.79724368427,3.187507612608e-07,1.9174384219737955e-05,1.9489373384142807e-05
86518.08900090464,3.187507612608e-07,1.9177833729395946e-05,1.949594867755949e-05
100000.0,3.187507612608e-07,1.918081918081918e-05,1.949783593156733e-05
