voltage_V,field_strength_V_per_m,energy_density_J_per_m3,candidate_residual_force_N,ehd_pressure_artifact_force_N,thermal_artifact_force_N,measured_force_N
1791.6666666666665,89583.33333333333,0.035528197191552084,6.395075494479374e-08,3.848285370963765e-06,3.8520833333333315e-12,3.912704300638026e-06
1833.3333333333333,91666.66666666666,0.03719988629683333,6.695979533429999e-08,4.029356667488292e-06,4.033333333333332e-12,4.096553867774206e-06
1875.0,93750.0,0.03891000503671875,7.003800906609374e-08,4.214590522553611e-06,4.21875e-12,4.285070127563162e-06
1916.6666666666665,95833.33333333333,0.04065855341120833,7.318539614017499e-08,4.403986936159723e-06,4.408333333333333e-12,4.478919598189128e-06
1958.3333333333333,97916.66666666666,0.04244553142030207,7.640195655654372e-08,4.59754590830663e-06,4.602083333333333e-12,4.674399658044056e-06
2000.0,100000.0,0.044270939064,7.96876903152e-08,4.795267438994331e-06,4.8000000000000005e-12,4.876317756435674e-06
2041.6666666666665,102083.33333333333,0.04613477634230208,8.304259741614373e-08,4.997151528222824e-06,5.002083333333334e-12,5.080334285861278e-06
2083.333333333333,104166.66666666664,0.048037043255208314,8.646667785937495e-08,5.2031981759921105e-06,5.208333333333332e-12,5.290248300982199e-06
2125.0,106250.0,0.04997773980271875,8.995993164489374e-08,5.413407382302193e-06,5.418749999999999e-12,5.504635309148764e-06
2166.6666666666665,108333.33333333333,0.05195686598483334,9.35223587727e-08,5.627779147153068e-06,5.633333333333332e-12,5.71839282761939e-06
2208.333333333333,110416.66666666664,0.05397442180155206,9.715395924279369e-08,5.846313470544736e-06,5.852083333333331e-12,5.942833939438149e-06
2250.0,112500.0,0.056030407252875,1.00854733055175e-07,6.069010352477199e-06,6.075e-12,6.168930415223789e-06
2291.6666666666665,114583.33333333333,0.05812482233880208,1.0462468020984373e-07,6.295869792950455e-06,6.302083333333332e-12,6.3992230195471446e-06
2333.333333333333,116666.66666666664,0.06025766705933331,1.0846380070679996e-07,6.526891791964504e-06,6.533333333333332e-12,6.634811841502184e-06
2375.0,118750.0,0.06242894141446875,1.1237209454604375e-07,6.762076349519349e-06,6.7687499999999994e-12,6.877445095437861e-06
2416.6666666666665,120833.33333333333,0.06463864540420833,1.1634956172757499e-07,7.001423465614985e-06,7.008333333333331e-12,7.116048373444507e-06
2458.333333333333,122916.66666666664,0.06688677902855206,1.203962022513937e-07,7.244933140251415e-06,7.252083333333331e-12,7.367273151295324e-06
2500.0,125000.0,0.06917334228750001,1.2451201611750002e-07,7.492605373428641e-06,7.5e-12,7.61375915000291e-06
2541.6666666666665,127083.33333333333,0.07149833518105209,1.2869700332589374e-07,7.74444016514666e-06,7.752083333333331e-12,7.872475150495914e-06
2583.333333333333,129166.66666666664,0.0738617577092083,1.3295116387657493e-07,8.000437515405469e-06,8.008333333333331e-12,8.133722193745588e-06
