time_s,drive_on,instant_candidate_residual_N,delayed_thermal_artifact_N,total_force_N
52.0,0.0,0.0,0.0,9.620573295273107e-10
53.0,0.0,0.0,0.0,1.0154569032765052e-09
54.0,0.0,0.0,0.0,1.206013706853353e-09
55.0,0.0,0.0,0.0,-7.468178736477647e-10
56.0,0.0,0.0,0.0,4.242286805267335e-09
57.0,0.0,0.0,0.0,4.688622329641955e-10
58.0,0.0,0.0,0.0,-3.72496950524959e-09
59.0,0.0,0.0,0.0,-2.004751491532435e-09
60.0,1.0,3.187507612608e-07,3.75e-10,3.1564475528274434e-07
61.0,1.0,3.187507612608e-07,7.453125e-10,3.195307430191026e-07
62.0,1.0,3.187507612608e-07,1.1109960937499999e-09,3.196181469064433e-07
63.0,1.0,3.187507612608e-07,1.4721086425781248e-09,3.192860185075792e-07
64.0,1.0,3.187507612608e-07,1.828707284545898e-09,3.2460132077014687e-07
65.0,1.0,3.187507612608e-07,2.1808484434890743e-09,3.220295754524429e-07
66.0,1.0,3.187507612608e-07,2.5285878379454614e-09,3.2273154582163813e-07
67.0,1.0,3.187507612608e-07,2.8719804899711427e-09,3.197605947748869e-07
68.0,1.0,3.187507612608e-07,3.2110807338465034e-09,3.199635522119845e-07
69.0,1.0,3.187507612608e-07,3.5459422246734222e-09,3.223703144836673e-07
70.0,1.0,3.187507612608e-07,3.876617946865005e-09,3.2297339348696947e-07
71.0,1.0,3.187507612608e-07,4.203160222529192e-09,3.192412983491003e-07
72.0,1.0,3.187507612608e-07,4.525620719747577e-09,3.229157679348485e-07
73.0,1.0,3.187507612608e-07,4.844050460750733e-09,3.236229558872977e-07
74.0,1.0,3.187507612608e-07,5.158499829991349e-09,3.234789627592491e-07
75.0,1.0,3.187507612608e-07,5.469018582116457e-09,3.2259299901822307e-07
76.0,1.0,3.187507612608e-07,5.775655849840001e-09,3.234473467467977e-07
77.0,1.0,3.187507612608e-07,6.078460151717001e-09,3.244755030253714e-07
78.0,1.0,3.187507612608e-07,6.377479399820539e-09,3.2530984070784065e-07
79.0,1.0,3.187507612608e-07,6.672760907322781e-09,3.266331053332239e-07
80.0,1.0,3.187507612608e-07,6.964351395981246e-09,3.2787682506668295e-07
81.0,1.0,3.187507612608e-07,7.25229700353148e-09,3.2541436281727694e-07
82.0,1.0,3.187507612608e-07,7.536643290987338e-09,3.253750921595566e-07
83.0,1.0,3.187507612608e-07,7.817435249849996e-09,3.274435078577186e-07
84.0,1.0,3.187507612608e-07,8.09471730922687e-09,3.2806716840284855e-07
85.0,1.0,3.187507612608e-07,8.368533342861534e-09,3.2625089373714377e-07
86.0,1.0,3.187507612608e-07,8.638926676075765e-09,3.289704748908081e-07
87.0,1.0,3.187507612608e-07,8.905940092624818e-09,3.2961587203573676e-07
88.0,1.0,3.187507612608e-07,9.169615841467008e-09,3.305037500335843e-07
89.0,1.0,3.187507612608e-07,9.42999564344867e-09,3.317373987176883e-07
90.0,1.0,3.187507612608e-07,9.687120697905562e-09,3.267050496813867e-07
91.0,1.0,3.187507612608e-07,9.941031689181743e-09,3.287195893686468e-07
92.0,1.0,3.187507612608e-07,1.019176879306697e-08,3.2896508544710425e-07
93.0,1.0,3.187507612608e-07,1.0439371683153634e-08,3.289939858068886e-07
94.0,1.0,3.187507612608e-07,1.0683879537114214e-08,3.281361149586939e-07
95.0,1.0,3.187507612608e-07,1.0925331042900285e-08,3.267049682972381e-07
96.0,1.0,3.187507612608e-07,1.1163764404864031e-08,3.30099884557722e-07
97.0,1.0,3.187507612608e-07,1.1399217349803231e-08,3.286132672915074e-07
98.0,1.0,3.187507612608e-07,1.163172713293069e-08,3.305544753552259e-07
99.0,1.0,3.187507612608e-07,1.1861330543769058e-08,3.2902400472117135e-07
100.0,1.0,3.187507612608e-07,1.2088063911971945e-08,3.2863950848108324e-07
101.0,1.0,3.187507612608e-07,1.2311963113072294e-08,3.3153132109462605e-07
102.0,1.0,3.187507612608e-07,1.2533063574158892e-08,3.315856678885719e-07
103.0,1.0,3.187507612608e-07,1.2751400279481905e-08,3.3266072548292376e-07
104.0,1.0,3.187507612608e-07,1.2967007775988382e-08,3.360894965696236e-07
105.0,1.0,3.187507612608e-07,1.3179920178788525e-08,3.324852605020102e-07
106.0,1.0,3.187507612608e-07,1.339017117655367e-08,3.3311109597148194e-07
107.0,1.0,3.187507612608e-07,1.359779403684675e-08,3.301934326399121e-07
108.0,1.0,3.187507612608e-07,1.3802821611386165e-08,3.299797679911134e-07
109.0,1.0,3.187507612608e-07,1.4005286341243838e-08,3.359217064955905e-07
110.0,1.0,3.187507612608e-07,1.420522026197829e-08,3.3110902196291166e-07
111.0,1.0,3.187507612608e-07,1.440265500870356e-08,3.3106552812656625e-07
112.0,1.0,3.187507612608e-07,1.4597621821094766e-08,3.3327018523946167e-07
113.0,1.0,3.187507612608e-07,1.4790151548331082e-08,3.333605279823763e-07
114.0,1.0,3.187507612608e-07,1.4980274653976944e-08,3.3192602290189035e-07
115.0,1.0,3.187507612608e-07,1.5168021220802233e-08,3.33308836044176e-07
116.0,1.0,3.187507612608e-07,1.5353420955542202e-08,3.365629336516424e-07
