time_s,drive_on,power_W,candidate_residual_device_N,thermal_lag_force_N,device_measured_force_N,dummy_load_measured_force_N
180.0,1.0,2.0,3.187507612608e-07,2.3451966768009008e-08,3.433994221229588e-07,2.2831042566675535e-08
181.0,1.0,2.0,3.187507612608e-07,2.3533817183408896e-08,3.433238995909019e-07,2.802910292386006e-08
182.0,1.0,2.0,3.187507612608e-07,2.3614644468616285e-08,3.4017073038032214e-07,3.1434010171518996e-08
183.0,1.0,2.0,3.187507612608e-07,2.369446141275858e-08,3.4384666898727776e-07,2.6793153899961538e-08
184.0,1.0,2.0,3.187507612608e-07,2.37732806450991e-08,3.39812413963646e-07,2.8290583519416205e-08
185.0,1.0,2.0,3.187507612608e-07,2.385111463703536e-08,3.410126769875853e-07,2.989086178479862e-08
186.0,1.0,2.0,3.187507612608e-07,2.3927975704072417e-08,3.452858671004886e-07,2.758228635882718e-08
187.0,1.0,2.0,3.187507612608e-07,2.4003876007771512e-08,3.444350775939599e-07,2.6816583255147394e-08
188.0,1.0,2.0,3.187507612608e-07,2.4078827557674367e-08,3.458043853978461e-07,2.3494487219679426e-08
189.0,1.0,2.0,3.187507612608e-07,2.4152842213203438e-08,3.4236025470662884e-07,2.939455465588904e-08
190.0,1.0,2.0,3.187507612608e-07,2.4225931685538392e-08,3.4067219526378487e-07,2.7952016922742757e-08
191.0,1.0,2.0,3.187507612608e-07,2.4298107539469164e-08,3.425679944061285e-07,2.6217944307961925e-08
192.0,1.0,2.0,3.187507612608e-07,2.4369381195225795e-08,3.433242050505069e-07,2.85606517214746e-08
193.0,1.0,2.0,3.187507612608e-07,2.4439763930285473e-08,3.4334850262376547e-07,2.7203442048860564e-08
194.0,1.0,2.0,3.187507612608e-07,2.4509266881156907e-08,3.455273890994703e-07,2.7376503156026167e-08
195.0,1.0,2.0,3.187507612608e-07,2.4577901045142444e-08,3.4260612145593553e-07,2.9707708478061617e-08
196.0,1.0,2.0,3.187507612608e-07,2.4645677282078162e-08,3.44100507486484e-07,2.5879359956438656e-08
197.0,1.0,2.0,3.187507612608e-07,2.4712606316052187e-08,3.4148611327798293e-07,3.071099148181049e-08
198.0,1.0,2.0,3.187507612608e-07,2.4778698737101533e-08,3.444300945539892e-07,2.5880471762370574e-08
199.0,1.0,2.0,3.187507612608e-07,2.4843965002887763e-08,3.4360094336405906e-07,2.740918091110446e-08
200.0,1.0,2.0,3.187507612608e-07,2.4908415440351667e-08,3.4215955002458264e-07,3.2638481509665656e-08
201.0,1.0,2.0,3.187507612608e-07,2.4972060247347272e-08,3.432511627837976e-07,3.110457897111339e-08
202.0,1.0,2.0,3.187507612608e-07,2.5034909494255434e-08,3.43417319262025e-07,2.910164175503677e-08
203.0,1.0,2.0,3.187507612608e-07,2.509697312557724e-08,3.43307424127703e-07,2.7081230607233082e-08
204.0,1.0,2.0,3.187507612608e-07,2.5158260961507524e-08,3.474517047068429e-07,2.7958905477172985e-08
205.0,1.0,2.0,3.187507612608e-07,2.521878269948868e-08,3.437726519556729e-07,2.9218470283927206e-08
206.0,1.0,2.0,3.187507612608e-07,2.527854791574507e-08,3.4354151695619036e-07,2.9200754814065762e-08
207.0,1.0,2.0,3.187507612608e-07,2.5337566066798258e-08,3.3989342541237793e-07,2.8997082826082508e-08
208.0,1.0,2.0,3.187507612608e-07,2.539584649096328e-08,3.4235819304780433e-07,2.9169612038914584e-08
209.0,1.0,2.0,3.187507612608e-07,2.5453398409826238e-08,3.4367801282171355e-07,2.8854323574649385e-08
210.0,1.0,2.0,3.187507612608e-07,2.551023092970341e-08,3.4288928683815014e-07,2.6450265590669043e-08
211.0,1.0,2.0,3.187507612608e-07,2.556635304308212e-08,3.4708052949063766e-07,2.8351711479668242e-08
212.0,1.0,2.0,3.187507612608e-07,2.562177363004359e-08,3.440426593400512e-07,3.1263859600228927e-08
213.0,1.0,2.0,3.187507612608e-07,2.5676501459668044e-08,3.4700415121910455e-07,2.6747197943815006e-08
214.0,1.0,2.0,3.187507612608e-07,2.573054519142219e-08,3.4460471572032297e-07,2.9153394874417416e-08
215.0,1.0,2.0,3.187507612608e-07,2.5783913376529415e-08,3.4460913031017254e-07,2.7941029406550785e-08
216.0,1.0,2.0,3.187507612608e-07,2.58366144593228e-08,3.444097828246978e-07,2.9850669097402745e-08
217.0,1.0,2.0,3.187507612608e-07,2.5888656778581264e-08,3.446470105426242e-07,2.8897539963805502e-08
218.0,1.0,2.0,3.187507612608e-07,2.5940048568849e-08,3.481283998357487e-07,3.267584626712944e-08
219.0,1.0,2.0,3.187507612608e-07,2.5990797961738386e-08,3.401023377690359e-07,3.077989969916106e-08
220.0,1.0,2.0,3.187507612608e-07,2.6040912987216655e-08,3.4078858275913926e-07,2.7188230582156565e-08
221.0,1.0,2.0,3.187507612608e-07,2.6090401574876447e-08,3.437548211735642e-07,3.11988326658322e-08
222.0,1.0,2.0,3.187507612608e-07,2.6139271555190492e-08,3.4491908857986565e-07,2.8351055912363316e-08
223.0,1.0,2.0,3.187507612608e-07,2.618753066075061e-08,3.463185007710786e-07,2.8789800077136482e-08
224.0,1.0,2.0,3.187507612608e-07,2.6235186527491226e-08,3.4593212218434613e-07,3.061432114017235e-08
225.0,1.0,2.0,3.187507612608e-07,2.6282246695897585e-08,3.4426451613093643e-07,2.9045542412063556e-08
226.0,1.0,2.0,3.187507612608e-07,2.6328718612198866e-08,3.4711756725948237e-07,3.185657360884089e-08
227.0,1.0,2.0,3.187507612608e-07,2.6374609629546383e-08,3.4718576169665183e-07,2.8563143768780955e-08
228.0,1.0,2.0,3.187507612608e-07,2.6419927009177054e-08,3.455388039325202e-07,2.8915056428292617e-08
229.0,1.0,2.0,3.187507612608e-07,2.646467792156234e-08,3.47140754327336e-07,2.8880483567525885e-08
230.0,1.0,2.0,3.187507612608e-07,2.6508869447542812e-08,3.45804921235207e-07,2.9101720231294458e-08
231.0,1.0,2.0,3.187507612608e-07,2.6552508579448527e-08,3.4418030378668274e-07,3.24706560578153e-08
232.0,1.0,2.0,3.187507612608e-07,2.659560222220542e-08,3.467419971610054e-07,3.156864981242149e-08
233.0,1.0,2.0,3.187507612608e-07,2.6638157194427854e-08,3.456101447003852e-07,3.376924460822521e-08
234.0,1.0,2.0,3.187507612608e-07,2.6680180229497505e-08,3.454336211838065e-07,3.492246583956227e-08
235.0,1.0,2.0,3.187507612608e-07,2.6721677976628782e-08,3.484183463818079e-07,2.8363091340317228e-08
236.0,1.0,2.0,3.187507612608e-07,2.6762657001920924e-08,3.406116740056407e-07,3.060224478159941e-08
237.0,1.0,2.0,3.187507612608e-07,2.6803123789396913e-08,3.427185167098778e-07,2.814542600238635e-08
238.0,1.0,2.0,3.187507612608e-07,2.6843084742029454e-08,3.432197051500807e-07,2.8978579637545975e-08
239.0,1.0,2.0,3.187507612608e-07,2.6882546182754086e-08,3.4490678614841645e-07,2.930914176918334e-08
240.0,1.0,2.0,3.187507612608e-07,2.692151435546966e-08,3.451630592767376e-07,2.8490068396862144e-08
241.0,1.0,2.0,3.187507612608e-07,2.6959995426026288e-08,3.4269610539128017e-07,2.853523656284283e-08
242.0,1.0,2.0,3.187507612608e-07,2.699799548320096e-08,3.4377844067937927e-07,3.038464240305635e-08
243.0,1.0,2.0,3.187507612608e-07,2.703552053966095e-08,3.440645984434138e-07,2.8273546874138038e-08
244.0,1.0,2.0,3.187507612608e-07,2.707257653291519e-08,3.5073818597786694e-07,3.2424588023114935e-08
245.0,1.0,2.0,3.187507612608e-07,2.7109169326253747e-08,3.49463414482548e-07,2.8937760544009343e-08
246.0,1.0,2.0,3.187507612608e-07,2.7145304709675577e-08,3.4507256713510625e-07,3.64249274041168e-08
247.0,1.0,2.0,3.187507612608e-07,2.718098840080463e-08,3.4520458308099106e-07,2.993513588401137e-08
248.0,1.0,2.0,3.187507612608e-07,2.7216226045794574e-08,3.4366857931221797e-07,3.101365395026522e-08
249.0,1.0,2.0,3.187507612608e-07,2.7251023220222142e-08,3.421855236545716e-07,2.831025375448386e-08
250.0,1.0,2.0,3.187507612608e-07,2.7285385429969365e-08,3.458023863179523e-07,3.434404562844371e-08
251.0,1.0,2.0,3.187507612608e-07,2.7319318112094746e-08,3.4407437540640664e-07,3.32014028877071e-08
252.0,1.0,2.0,3.187507612608e-07,2.7352826635693563e-08,3.459338868331695e-07,3.1586390938812436e-08
253.0,1.0,2.0,3.187507612608e-07,2.7385916302747394e-08,3.4293626586546044e-07,2.832873480012952e-08
254.0,1.0,2.0,3.187507612608e-07,2.7418592348963053e-08,3.4464540469314253e-07,3.1473082094731986e-08
255.0,1.0,2.0,3.187507612608e-07,2.7450859944601015e-08,3.464988753960067e-07,2.883792708332241e-08
256.0,1.0,2.0,3.187507612608e-07,2.74827241952935e-08,3.4696590465166136e-07,3.4034177527926876e-08
