frequency_Hz,frequency_offset_Hz,lorentzian_resonance_gain,candidate_residual_force_N,mechanical_artifact_force_N,measured_force_N
2449715000.0,-285000.0,0.11370933979438551,2.775003113241007e-08,3.0777055745220413e-09,3.1736577383360834e-08
2449722500.0,-277500.0,0.11919631598491601,2.908909228943855e-08,3.1215795444560103e-09,2.99898104650656e-08
2449730000.0,-270000.0,0.12507058335712157,3.052266936194261e-08,3.166252856758583e-09,3.2745872603801295e-08
2449737500.0,-262500.0,0.1313672922252011,3.205934055743888e-08,3.2117401619881036e-09,3.579851512814002e-08
2449745000.0,-255000.0,0.1381253609898543,3.370860366065632e-08,3.2580562239115427e-09,3.707159348128035e-08
2449752500.0,-247500.0,0.14538791506100118,3.5480983149795596e-08,3.3052159050172345e-09,3.8201856683205725e-08
2449760000.0,-240000.0,0.15320277385713663,3.738814904558119e-08,3.3532341504980865e-09,4.053440665994735e-08
2449767500.0,-232500.0,0.16162298829529143,3.94430480822204e-08,3.402125970597615e-09,4.2341219296404246e-08
2449775000.0,-225000.0,0.17070742979025955,4.1660047448866716e-08,3.451906421205516e-09,4.541707889427717e-08
2449782500.0,-217500.0,0.18052142949514144,4.405509079215225e-08,3.502590582583667e-09,5.050066532072223e-08
2449790000.0,-210000.0,0.1911374629427368,4.6645865298504846e-08,3.5541935360976003e-09,4.506674195273985e-08
2449797500.0,-202500.0,0.20263586984042314,4.945197735544662e-08,3.6067303388225306e-09,5.258500716524978e-08
2449805000.0,-195000.0,0.21510559077438013,5.249513233950939e-08,3.6602159958870843e-09,5.650837317814137e-08
2449812500.0,-187500.0,0.2286448909627655,5.579931124353018e-08,3.7146654304119228e-09,6.01059646533163e-08
2449820000.0,-180000.0,0.24336202457743591,5.939093280008334e-08,3.770093450894622e-09,6.241719708833538e-08
2449827500.0,-172500.0,0.2593757697011075,6.3298984034326e-08,3.826514715886417e-09,6.361205518525525e-08
2449835000.0,-165000.0,0.27681573134231996,6.755509421284609e-08,3.8839436958008926e-09,7.20950288760752e-08
2449842500.0,-157500.0,0.2958222651533446,7.219351622750966e-08,3.9423946316894695e-09,7.95906112875275e-08
2449850000.0,-150000.0,0.3165458141067898,7.725096471566386e-08,4.001881490813647e-09,7.818512339664523e-08
