geometry,geometry_sign,voltage_V,energy_density_J_per_m3,candidate_residual_force_N,non_inverting_artifact_force_N,measured_force_N
reversed,-1,3227.848101265823,0.11531476576817017,-2.075665783827063e-07,4.371679416247887e-06,4.1619053564696165e-06
reversed,-1,3291.1392405063293,0.11988124822650219,-2.1578624680770395e-07,4.544798593438787e-06,4.330186864964689e-06
reversed,-1,3354.4303797468356,0.12453640024713189,-2.2416552044483738e-07,4.721279308050869e-06,4.497752588133614e-06
reversed,-1,3417.721518987342,0.12928022183005927,-2.3270439929410666e-07,4.901121560084134e-06,4.666679066294298e-06
reversed,-1,3481.012658227848,0.1341127129752844,-2.4140288335551186e-07,5.084325349538582e-06,4.843277258412343e-06
reversed,-1,3544.303797468355,0.13903387368280726,-2.5026097262905304e-07,5.270890676414215e-06,5.023054741458825e-06
reversed,-1,3607.594936708861,0.1440437039526278,-2.5927866711473004e-07,5.4608175407110265e-06,5.200891290187724e-06
reversed,-1,3670.8860759493673,0.14914220378474607,-2.684559668125429e-07,5.6541059424290226e-06,5.38226605031814e-06
reversed,-1,3734.1772151898736,0.154329373179162,-2.777928717224916e-07,5.850755881568201e-06,5.572927884192755e-06
reversed,-1,3797.46835443038,0.15960521213587567,-2.872893818445762e-07,6.05076735812856e-06,5.761673130094399e-06
reversed,-1,3860.759493670886,0.16496972065488705,-2.9694549717879663e-07,6.2541403721101044e-06,5.95651019305398e-06
reversed,-1,3924.0506329113928,0.17042289873619615,-3.0676121772515306e-07,6.460874923512831e-06,6.1539505302483075e-06
reversed,-1,3987.341772151899,0.17596474637980294,-3.167365434836453e-07,6.67097101233674e-06,6.3508231644210635e-06
reversed,-1,4050.6329113924053,0.1815952635857074,-3.268714744542733e-07,6.884428638581829e-06,6.554325847448915e-06
reversed,-1,4113.9240506329115,0.18731445035390965,-3.3716601063703736e-07,7.101247802248104e-06,6.765045925282117e-06
reversed,-1,4177.215189873418,0.19312230668440963,-3.476201520319373e-07,7.321428503335559e-06,6.972762913911282e-06
reversed,-1,4240.506329113924,0.19901883257720718,-3.582338986389729e-07,7.5449707418441965e-06,7.181607354521582e-06
reversed,-1,4303.797468354431,0.20500402803230255,-3.6900725045814453e-07,7.77187451777402e-06,7.4044369553890915e-06
reversed,-1,4367.088607594937,0.21107789304969557,-3.79940207489452e-07,8.00213983112502e-06,7.6227443631461165e-06
reversed,-1,4430.379746835443,0.21724042762938633,-3.910327697328953e-07,8.235766681897207e-06,7.843306162516237e-06
reversed,-1,4493.67088607595,0.22349163177137485,-4.022849371884747e-07,8.47275507009058e-06,8.067836472479988e-06
reversed,-1,4556.962025316456,0.22983150547566095,-4.1369670985618967e-07,8.713104995705128e-06,8.301079901641566e-06
reversed,-1,4620.2531645569625,0.2362600487422449,-4.2526808773604076e-07,8.956816458740865e-06,8.532247072249945e-06
reversed,-1,4683.544303797468,0.24277726157112645,-4.3699907082802756e-07,9.203889459197777e-06,8.771655592935118e-06
reversed,-1,4746.835443037975,0.24938314396230574,-4.488896591321503e-07,9.454323997075877e-06,9.006274715141177e-06
reversed,-1,4810.126582278482,0.25607769591578283,-4.6093985264840906e-07,9.708120072375161e-06,9.247955626009277e-06
reversed,-1,4873.4177215189875,0.2628609174315575,-4.7314965137680343e-07,9.965277685095624e-06,9.491794177858604e-06
reversed,-1,4936.708860759494,0.26973280850962994,-4.855190553173338e-07,1.0225796835237272e-05,9.741911331654338e-06
reversed,-1,5000.0,0.27669336915000003,-4.980480644700001e-07,1.0489677522800096e-05,9.992879628732592e-06
symmetric_control,0,0.0,0.0,0.0,0.0,2.5034500171303903e-09
symmetric_control,0,63.29113924050633,4.433478114885435e-05,0.0,1.6807687105912669e-09,6.381228733166973e-10
symmetric_control,0,126.58227848101266,0.0001773391245954174,0.0,6.7230748423650674e-09,5.852259896477143e-09
symmetric_control,0,189.873417721519,0.00039901303033968924,0.0,1.5126918395321404e-08,1.4168712053497445e-08
symmetric_control,0,253.16455696202533,0.0007093564983816696,0.0,2.689229936946027e-08,2.847390281181825e-08
symmetric_control,0,316.45569620253167,0.001108369528721359,0.0,4.201921776478169e-08,4.5015966645375155e-08
symmetric_control,0,379.746835443038,0.001596052121358757,0.0,6.050767358128562e-08,5.9589992594987015e-08
symmetric_control,0,443.03797468354435,0.0021724042762938634,0.0,8.23576668189721e-08,8.150811936338592e-08
symmetric_control,0,506.32911392405066,0.0028374259935266782,0.0,1.0756919747784108e-07,1.0819735192558068e-07
symmetric_control,0,569.620253164557,0.0035911172730572023,0.0,1.3614226555789262e-07,1.3565074255786682e-07
symmetric_control,0,632.9113924050633,0.004433478114885436,0.0,1.6807687105912675e-07,1.6998097836540654e-07
symmetric_control,0,696.2025316455697,0.005364508519011378,0.0,2.0337301398154337e-07,1.9886945940030526e-07
symmetric_control,0,759.493670886076,0.006384208485435028,0.0,2.4203069432514247e-07,2.403772842313087e-07
symmetric_control,0,822.7848101265823,0.007492578014156387,0.0,2.840499120899242e-07,2.824850794220013e-07
symmetric_control,0,886.0759493670887,0.008689617105175454,0.0,3.294306672758884e-07,3.2478995525111613e-07
