voltage_V,electric_field_V_per_m,energy_density_J_per_m3,F_electrostatic_N,F_EHD_air_N,F_residual_chi_0_N,F_total_air_chi_0_N,F_residual_chi_1e-06_N,F_total_air_chi_1e-06_N,F_residual_chi_1e-05_N,F_total_air_chi_1e-05_N,F_residual_chi_0.0001_N,F_total_air_chi_0.0001_N
2007.6220735785953,100381.10367892977,0.044609018431281046,2.230450921564052e-06,8.061092780640038e-06,0.0,1.029154370220409e-05,1.1152254607820263e-10,1.0291655224750167e-05,1.1152254607820264e-09,1.0292658927664872e-05,1.1152254607820263e-08,1.030269595681191e-05
2107.953177257525,105397.65886287625,0.04917910976615041,2.4589554883075204e-06,8.88693319502019e-06,0.0,1.134588868332771e-05,1.2294777441537603e-10,1.1346011631102124e-05,1.2294777441537603e-09,1.1347118161071863e-05,1.2294777441537603e-08,1.1358183460769246e-05
2208.2842809364547,110414.21404682273,0.05397202405022852,2.698601202511426e-06,9.753038930862069e-06,0.0,1.2451640133373495e-05,1.349300601255713e-10,1.2451775063433621e-05,1.3493006012557132e-09,1.2452989433974751e-05,1.3493006012557132e-08,1.2465133139386052e-05
2308.6153846153848,115430.76923076923,0.05898776128351543,2.9493880641757716e-06,1.0659409988165682e-05,0.0,1.3608798052341453e-05,1.4746940320878856e-10,1.3608945521744661e-05,1.474694032087886e-09,1.361027274637354e-05,1.4746940320878858e-08,1.3623544992662332e-05
2408.9464882943143,120447.32441471571,0.06422632146601108,3.211316073300554e-06,1.1606046366931016e-05,0.0,1.481736244023157e-05,1.605658036650277e-10,1.4817523006035235e-05,1.6056580366502773e-09,1.481896809826822e-05,1.6056580366502773e-08,1.4833419020598072e-05
2509.277591973244,125463.8795986622,0.0696877045977155,3.4843852298857755e-06,1.2592948067158084e-05,0.0,1.607733329704386e-05,1.7421926149428875e-10,1.6077507516305354e-05,1.7421926149428879e-09,1.60790754896588e-05,1.742192614942888e-08,1.6094755223193287e-05
2609.608695652174,130480.4347826087,0.07537191067862872,3.768595533931436e-06,1.3620115088846881e-05,0.0,1.7388710622778317e-05,1.884297766965718e-10,1.7388899052555012e-05,1.8842977669657183e-09,1.7390594920545283e-05,1.8842977669657182e-08,1.7407553600447976e-05
2709.9397993311036,135496.98996655518,0.08127893970875065,4.063946985437532e-06,1.4687547431997403e-05,0.0,1.8751494417434935e-05,2.0319734927187663e-10,1.8751697614784208e-05,2.0319734927187665e-09,1.8753526390927654e-05,2.0319734927187666e-08,1.8771814152362122e-05
2810.270903010033,140513.54515050165,0.08740879168808137,4.370439584404068e-06,1.5795245096609655e-05,0.0,2.0165684681013722e-05,2.1852197922020344e-10,2.016590320299294e-05,2.1852197922020343e-09,2.0167869900805925e-05,2.1852197922020343e-08,2.0187536878935743e-05
2910.6020066889632,145530.10033444816,0.09376146661662088,4.688073330831044e-06,1.694320808268364e-05,0.0,2.1631281413514684e-05,2.3440366654155217e-10,2.1631515817181225e-05,2.3440366654155222e-09,2.16336254501801e-05,2.344036665415522e-08,2.165472178016884e-05
