chi_eff,F_residual_N_at_30kV
0.0001299308784200417,3.2355911271342417e-06
0.00013607528864243332,3.388601708135414e-06
0.00014251026703029993,3.5488481347605896e-06
0.0001492495545051829,3.7166725889788165e-06
0.00015630754179458175,3.892433434489137e-06
0.00016369930016117018,4.076505981951916e-06
0.0001714406135851972,4.269283290407975e-06
0.00017954801246878303,4.471177006596552e-06
0.00018803880893409166,4.682618243964633e-06
0.00019693113379074217,4.904058503244337e-06
0.00020624397525140925,5.135970636564405e-06
0.0002159972194782717,5.378849857154218e-06
0.00022621169304690264,5.633214796796707e-06
0.0002369092074182632,5.899608613287878e-06
0.000248112605513777,6.178600150268096e-06
0.0002598458104929247,6.470785151901407e-06
0.0002721338768375309,6.776787534997064e-06
0.0002850030438518105,7.097260721289237e-06
0.00029848079169243275,7.432889032720274e-06
0.0003125959000482284,7.784389152706426e-06
0.0003273785095948577,8.152511656506769e-06
0.000342860186355659,8.53804261396301e-06
0.0003590739891061055,8.941805268032448e-06
0.00037605453996581757,9.36466179269873e-06
0.0003938380983288489,9.80751513401365e-06
0.00041246263829013564,1.0271310938201804e-05
0.0004319679297334174,1.0757039570944697e-05
0.0004523956232538058,1.126573823215679e-05
0.0004737893390963144,1.1798493170768632e-05
0.0004961947603002908,1.2356442004247071e-05
0.0005196597302486197,1.294077614780485e-05
0.0005442343548300272,1.3552743358487482e-05
0.0005699711094326076,1.4193650399569223e-05
0.0005969249509970739,1.4864865830948291e-05
0.0006251534353689712,1.5567822931498992e-05
0.0006547168402004743,1.630402275962187e-05
0.0006856782936641738,1.7075037358526278e-05
0.0007181039092537357,1.7882513113090783e-05
0.0007520629269592407,1.8728174265468386e-05
0.0007876278611187063,1.9613826596944738e-05
0.0008248746552614581,2.054136128391022e-05
0.0008638828442740454,2.1512758936180953e-05
0.0009047357242349293,2.2530093826290703e-05
0.0009475205302806548,2.3595538318785995e-05
0.0009923286228832545,2.4711367508981158e-05
0.001039255682936713,2.5879964081080106e-05
0.0010884019160690055,2.7103823396037128e-05
0.0011398722666160525,2.838555882002258e-05
0.0011937766417144358,2.972790730487006e-05
0.001250230145991456,3.113373523242286e-05
0.0013093533273536096,3.260604453525772e-05
0.001371272434398401,3.414797910685759e-05
0.0014361196859990803,3.5762831514919474e-05
0.0015040335536380253,3.745405003213412e-05
0.0015751590570916244,3.922524599945026e-05
0.0016496480740980206,4.108020153754558e-05
0.0017276596646690382,4.302287762297317e-05
0.0018093604107387166,4.505742254622617e-05
0.0018949247718738236,4.7188180769784513e-05
0.001984535457805803,4.9419702205055614e-05
0.0020783838185797596,5.175675192802176e-05
0.002176670253153459,5.420432035433718e-05
0.002279604637318982,5.67676338956056e-05
0.002387406771860647,5.945216611958955e-05
0.002500306851906326,6.226364943818611e-05
0.0026185459584742326,6.52080873481232e-05
0.0027423765732649524,6.829176725051837e-05
0.002872063117797828,7.152127387667035e-05
0.003007882518043102,7.490350334875646e-05
0.0031501247957553278,7.84456779054556e-05
0.0032990936877709425,8.215536132394617e-05
0.003455107294592218,8.604047507120508e-05
0.00361849875964275,9.010931521910189e-05
0.003789616980644716,9.437057015940217e-05
0.003968827354637166,9.883333915651333e-05
0.004156512558225988,0.00010350715177758389
0.004353073364731892,0.00010840198824145215
0.004558929499981059,0.00011352830072988993
0.004774520538566131,0.00011889703570665521
0.005000306842491089,0.00012451965729200535
0.005236770544204655,0.00013040817174259122
0.005484416576121015,0.00013657515308899748
0.005743773748826587,0.00014303376998568224
0.006015395880274833,0.00014979781383064148
0.006299862978380693,0.00015688172821485283
0.006597782479539547,0.00016430063976437376
0.006909790545715645,0.00017207039044096103
0.007236553422869664,0.0001802075713701813
0.00757876886362593,0.000188729558269244
0.007937167617217558,0.00019765454855021614
0.008312514989890631,0.00020700160017783612
0.008705612479099874,0.0002167906723649136
0.00911729948498492,0.0002270426681922015
0.009548455102782303,0.0002377794792437622
0.01,0.00024902403235312504
