normalized_detuning,estimated_force_nN
7.718120805369126369e-01,1.182635258503826670e+00
7.852348993288589263e-01,1.145716279985359520e+00
7.986577181208054377e-01,1.110452972605683764e+00
8.120805369127517270e-01,1.076750611739498931e+00
8.255033557046980164e-01,1.044520939513297275e+00
8.389261744966443057e-01,1.013681661242267218e+00
8.523489932885905951e-01,9.841559850242204144e-01
8.657718120805368844e-01,9.558722005570799984e-01
8.791946308724831738e-01,9.287632936116824167e-01
8.926174496644294631e-01,9.027665929248755994e-01
9.060402684563757525e-01,8.778234465812659870e-01
9.194630872483220418e-01,8.538789252275623687e-01
9.328859060402683312e-01,8.308815497134488526e-01
9.463087248322146205e-01,8.087830409794142250e-01
9.597315436241611319e-01,7.875380902169332176e-01
9.731543624161074213e-01,7.671041475118041131e-01
9.865771812080537106e-01,7.474412273490180780e-01
1.000000000000000000e+00,7.285117295089752476e-01
