voltage_V,distance_m,coupling_fraction,F_env_mgf,F_env_N
7000,0.03142112693878349,0.1,11.262128537999878,0.00011044375282717649
7000,0.031786805378328474,0.1,11.004497814691558,0.00010791725849444496
7000,0.03215673957615382,0.1,10.752760612254395,0.00010544855985816456
7000,0.0325309790606883,0.1,10.506782111409795,0.00010303633479285686
7000,0.0329095739367715,0.1,10.266430576984302,0.00010067929141778308
7000,0.03329257489236216,0.1,10.031577287358022,9.837616740506954e-05
7000,0.0336800332053244,0.1,9.80209646552713,9.612572930366163e-05
7000,0.03407200075029315,0.1,9.577865211743182,9.392677187874127e-05
7000,0.03446853000561927,0.1,9.35876343769352,9.177811746625714e-05
7000,0.03486967406039557,0.1,9.144673802187313,8.967861534222022e-05
7000,0.035275486621564704,0.1,8.935481648312763,8.762714110642634e-05
7000,0.035686022021109584,0.1,8.731074942032006,8.562259608027817e-05
7000,0.036101335223327674,0.1,8.53134421218062,8.366390671838108e-05
7000,0.03652148183218984,0.1,8.336182491839715,8.175002403359995e-05
7000,0.03694651809878476,0.1,8.145485261049254,7.987992303526866e-05
7000,0.03737650092885024,0.1,7.959150390831715,7.805260218024983e-05
7000,0.037811487890391814,0.1,7.777078088496419,7.62670828365534e-05
7000,0.03825153722139038,0.1,7.599170844194938,7.452240875922428e-05
7000,0.03869670783759926,0.1,7.425333378699164,7.281764557822015e-05
7000,0.03914705934043206,0.1,7.255472592374005,7.115188029800453e-05
7000,0.039602652024942536,0.1,7.089497515317296,6.952422080858636e-05
7000,0.040063546887896956,0.1,6.927319258640419,6.793379540774606e-05
7000,0.04052980563594081,0.1,6.768850966863293,6.637975233418991e-05
7000,0.04100149069386019,0.1,6.6140077713984935,6.486125931138503e-05
7000,0.041478665212939664,0.1,6.462706745099351,6.337750310182855e-05
7000,0.04196139307941715,0.1,6.31486685784787,6.192768907151382e-05
7000,0.04244973892303727,0.1,6.170408933158615,6.0511040764359936e-05
7000,0.04294376812570437,0.1,6.029255605775252,5.912679948637587e-05
7000,0.043443546830236004,0.1,5.891331280237186,5.777422389933801e-05
7000,0.04394914194921856,0.1,5.756562090393968,5.6452589623762e-05
7000,0.04446062117396575,0.1,5.624875859845856,5.516118885095736e-05
7000,0.04497805298358136,0.1,5.4962020632893696,5.38993299639567e-05
7000,0.045501506654127694,0.1,5.370471788747017,5.266633716711593e-05
7000,0.046031052267900364,0.1,5.247617700661149,5.146155012418865e-05
7000,0.04656676072281141,0.1,5.127574003831973,5.0284323604678815e-05
7000,0.047108703741881315,0.1,5.010276408180588,4.913402713828416e-05
7000,0.04765695388284157,0.1,4.895662094318084,4.801004467724444e-05
7000,0.04821158454784917,0.1,4.783669679902226,4.691177426641316e-05
7000,0.04877266999331382,0.1,4.674239186763833,4.583862772087754e-05
7000,0.049340285339839904,0.1,4.567312008785101,4.479003031095241e-05
7000,0.049914506582283864,0.1,4.462830880512781,4.376542045438066e-05
7000,0.050495410599928695,0.1,4.3607398464893485,4.276424941557477e-05
7000,0.05108307516677701,0.1,4.26098423128572,4.1785981011738105e-05
7000,0.05167757896196359,0.1,4.163510610219552,4.083009132570957e-05
7000,0.05227900158028949,0.1,4.068266780743315,3.989606842537642e-05
7000,0.05288742354287843,0.1,3.9752017344869426,3.8983412089506374e-05
7000,0.05350292630795727,0.1,3.8842656299400278,3.809163353985137e-05
7000,0.054125592281762176,0.1,3.7954097657588806,3.722025517937932e-05
7000,0.0547555048295713,0.1,3.70858655468429,3.636881033649469e-05
7000,0.0553927482868663,0.1,3.6237494980558713,3.553684301510961e-05
7000,0.056037407970623475,0.1,3.5408531609094545,3.47239076504327e-05
7000,0.05668957019073628,0.1,3.4598531476441408,3.392956887034441e-05
7000,0.05734932226157107,0.1,3.380706078245973,3.3153401262230866e-05
7000,0.05801675251365693,0.1,3.303369565055542,3.239498914515193e-05
7000,0.05869195030551191,0.1,3.227802190067022,3.165392634722076e-05
7000,0.05937500603560671,0.1,3.153963482746526,3.0929815988076216e-05
7000,0.060066011154467525,0.1,3.081813898357897,3.0222270266331467e-05
7000,0.06076505817692002,0.1,3.011314796784277,2.9530910251884528e-05
7000,0.061472240694475405,0.1,2.9424284218342036,2.885536568298039e-05
7000,0.06218765338786112,0.1,2.875117881021043,2.819527476791501e-05
7000,0.06291139203969698,0.1,2.8093471258050204,2.7550283991275804e-05
7000,0.06364355354731889,0.1,2.7450809322872334,2.6920047924614597e-05
7000,0.06438423593575213,0.1,2.682284882345269,2.630422904145123e-05
7000,0.06513353837083512,0.1,2.6209253452004093,2.5702497536509593e-05
7000,0.06589156117249637,0.1,2.5609694594064605,2.5114531149088366e-05
7000,0.0666584058281857,0.1,2.502385115250626,2.454001499047255e-05
7000,0.06743417500646175,0.1,2.445140937556976,2.397864137529312e-05
7000,0.06821897257073785,0.1,2.389206268883279,2.3430109656744206e-05
7000,0.06901290359318753,0.1,2.334551153102254,2.2894126065570216e-05
7000,0.06981607436881225,0.1,2.2811463193583807,2.237040355273586e-05
7000,0.07062859242967252,0.1,2.2289631663917384,2.185866163569554e-05
7000,0.07145056655928474,0.1,2.1779737472204412,2.1358626248179336e-05
7000,0.07228210680718576,0.1,2.1281507541734612,2.087002959341517e-05
7000,0.0731233245036666,0.1,2.079467504265871,2.03926100007089e-05
7000,0.07397433227467806,0.1,2.0318979249086007,1.992611178530493e-05
7000,0.07483524405690949,0.1,1.9854165399451262,1.947028511145287e-05
7000,0.07570617511304296,0.1,1.9399984560075758,1.902488585860669e-05
7000,0.07658724204718552,0.1,1.8956193491849287,1.858967549068438e-05
7000,0.07747856282048027,0.1,1.8522554519962282,1.816442092831881e-05
7000,0.07838025676689982,0.1,1.8098835406617553,1.77488944240306e-05
7000,0.07929244460922316,0.1,1.7684809226654108,1.734287344025675e-05
7000,0.08021524847519838,0.1,1.7280254246016171,1.6946140530169448e-05
7000,0.08114879191389406,0.1,1.6884953803002078,1.6558483221221032e-05
7000,0.08209319991224011,0.1,1.6498696192230076,1.6179693901353307e-05
7000,0.08304859891176194,0.1,1.612127455125817,1.580956970780959e-05
7000,0.08401511682550891,0.1,1.5752486749797823,1.544791241849048e-05
7000,0.08499288305517971,0.1,1.5392135281461987,1.5094528345794918e-05
7000,0.08598202850844754,0.1,1.5040027157989353,1.474922823288963e-05
