voltage_V,E_V_per_m,F_Migliorero_Musha_N,kgf_Migliorero_Musha,F_electrostatic_pressure_internal_N,kgf_electrostatic_pressure_internal,F_EHD_air_schematic_N,F_EVRT_residual_chi_1e-4_N
24508.361204013378,24508361.204013377,374.2108443354018,38.1588865040969,451118784.7098124,46001313.87474953,6.006597689063881e-10,45111.87847098124
24839.464882943143,24839464.882943142,379.26636747803343,38.674406395459556,463390192.7931774,47252649.2526171,6.169990156709656e-10,46339.01927931775
25170.568561872908,25170568.561872907,384.3218906206651,39.18992628682222,475826273.1097179,48520776.5250843,6.335575217279448e-10,47582.627310971795
25501.672240802673,25501672.24080267,389.3774137632968,39.705446178184886,488427025.659434,49805695.692151144,6.503352870773256e-10,48842.70256594341
25832.77591973244,25832775.91973244,394.43293690592844,40.22096606954755,501192450.44232595,51107406.75381766,6.673323117191082e-10,50119.2450442326
26163.879598662206,26163879.598662205,399.48846004856006,40.73648596091021,514122547.45839334,52425909.710083805,6.845485956532925e-10,51412.254745839346
26494.98327759197,26494983.27759197,404.5439831911917,41.25200585227287,527217316.7076363,53761204.560949594,7.019841388798783e-10,52721.731670763635
26826.086956521736,26826086.956521735,409.5995063338234,41.76752574363554,540476758.1900549,55113291.30641503,7.196389413988656e-10,54047.67581900549
27157.190635451505,27157190.635451503,414.65502947645507,42.2830456349982,553900871.9056493,56482169.946480125,7.37513003210255e-10,55390.08719056495
27488.29431438127,27488294.314381268,419.7105526190867,42.79856552636086,567489657.8544191,57867840.48114485,7.556063243140457e-10,56748.96578544193
27819.397993311035,27819397.993311033,424.76607576171835,43.314085417723525,581243116.0363646,59270302.91040922,7.73918904710238e-10,58124.31160363646
28150.5016722408,28150501.6722408,429.82159890435,43.82960530908618,595161246.4514859,60689557.23427326,7.924507443988321e-10,59516.12464514859
28481.605351170565,28481605.351170566,434.8771220469817,44.34512520044885,609244049.0997827,62125603.452736944,8.112018433798278e-10,60924.40490997827
28812.709030100334,28812709.030100334,439.93264518961337,44.86064509181151,623491523.9812552,63578441.56580027,8.301722016532253e-10,62349.15239812553
29143.8127090301,29143812.7090301,444.98816833224504,45.37616498317418,637903671.095903,65048071.57346322,8.493618192190243e-10,63790.36710959032
29474.916387959864,29474916.387959864,450.04369147487665,45.891684874536836,652480490.4437267,66534493.47572583,8.68770696077225e-10,65248.04904437267
29806.02006688963,29806020.06688963,455.09921461750827,46.40720476589949,667221982.0247258,68037707.27258807,8.883988322278273e-10,66722.19820247259
30137.123745819397,30137123.745819397,460.15473776014,46.922724657262165,682128145.8389007,69557712.96404998,9.082462276708313e-10,68212.81458389008
30468.227424749162,30468227.424749162,465.21026090277167,47.43824454862483,697198981.8862512,71094510.55011153,9.283128824062371e-10,69719.89818862513
30799.331103678927,30799331.103678927,470.2657840454033,47.95376443998749,712434490.1667773,72648100.03077272,9.485987964340443e-10,71243.44901667773
31130.434782608692,31130434.78260869,475.3213071880349,48.469284331350146,727834670.6804788,74218481.40603355,9.691039697542531e-10,72783.46706804789
31461.53846153846,31461538.46153846,480.37683033066656,48.98480422271281,743399523.4273564,75805654.67589405,9.89828402366864e-10,74339.95234273563
31792.642140468226,31792642.140468225,485.4323534732983,49.50032411407548,759129048.4074092,77409619.84035417,1.010772094271876e-09,75912.90484074093
32123.74581939799,32123745.81939799,490.4878766159299,50.01584400543814,775023245.6206378,79030376.89941396,1.03193504546929e-09,77502.32456206378
32454.849498327756,32454849.498327754,495.5433997585615,50.5313638968008,791082115.0670419,80667925.85307336,1.0533172559591055e-09,79108.21150670419
32785.95317725752,32785953.17725752,500.59892290119313,51.046883788163456,807305656.7466216,82322266.70133244,1.0749187257413226e-09,80730.56567466218
33117.05685618729,33117056.85618729,505.6544460438249,51.562403679526135,823693870.6593772,83993399.44419116,1.0967394548159418e-09,82369.38706593774
33448.16053511706,33448160.535117056,510.7099691864566,52.0779235708888,840246756.8053083,85681324.08164953,1.1187794431829622e-09,84024.67568053084
33779.26421404682,33779264.21404682,515.7654923290883,52.593443462251464,856964315.184415,87386040.61370754,1.1410386908423844e-09,85696.43151844152
34110.36789297659,34110367.89297659,520.8210154717199,53.10896335361412,873846545.7966974,89107549.0403652,1.1635171977942082e-09,87384.65457966976
34441.47157190635,34441471.57190635,525.8765386143515,53.62448324497678,890893448.6421549,90845849.36162247,1.1862149640384336e-09,89089.34486421551
34772.57525083612,34772575.25083612,530.9320617569832,54.140003136339445,908105023.7207887,92600941.57747944,1.2091319895750607e-09,90810.50237207887
35103.67892976588,35103678.92976588,535.9875848996148,54.65552302770211,925481271.0325975,94372825.68793601,1.2322682744040894e-09,92548.12710325977
35434.78260869565,35434782.60869565,541.0431080422464,55.17104291906477,943022190.5775824,96161501.69299224,1.2556238185255197e-09,94302.21905775825
35765.88628762541,35765886.28762541,546.0986311848781,55.686562810427425,960727782.3557426,97966969.59264812,1.2791986219393516e-09,96072.77823557425
